번호,종목코드,종목명,시장구분,증권구분,주식종류,상장일,폐지일,폐지사유,정리매매기간_시작일,정리매매기간_종료일,업종,액면가,상장주식수,이전상장후_종목코드,이전상장후_종목명
"91","00932011","대우부품 31R","KOSPI","신주인수권증서","보통주","2011/08/11","2011/08/19",,,,,"0","8058084",,
"92","00680011","대우증권 42R","KOSPI","신주인수권증서","보통주","2011/10/10","2011/10/17",,,,,"0","110884166",,
"93","2903801C","대유 7R","KOSDAQ","신주인수권증서","보통주","2022/01/21","2022/01/28",,,,,"0","7992590",,
"94","00030012","대유신소재 36R","KOSPI","신주인수권증서","보통주","2012/07/17","2012/07/24",,,,,"0","23584114",,
"95","07860016","대주전자재료 5R","KOSDAQ","신주인수권증서","보통주","2016/11/17","2016/11/24",,,,,"0","1501486",,
"96","09635017","대창솔루션 5R","KOSDAQ","신주인수권증서","보통주","2017/07/06","2017/07/13",,,,,"0","6998977",,
"97","14052017","대창스틸 4R","KOSDAQ","신주인수권증서","보통주","2017/08/08","2017/08/16",,,,,"0","3058952",,
"98","01017018","대한광통신 22R","KOSDAQ","신주인수권증서","보통주","2018/05/10","2018/05/17",,,,,"0","13989941",,
"99","00144012","대한전선 39R","KOSPI","신주인수권증서","보통주","2012/11/15","2012/11/22",,,,,"0","70627028",,
"100","0014401C","대한전선 55R","KOSPI","신주인수권증서","보통주","2022/02/18","2022/02/25",,,,,"0","387777314",,
"101","00349017","대한항공 44R","KOSPI","신주인수권증서","보통주","2017/02/16","2017/02/23",,,,,"0","17563846",,
"102","0034901A","대한항공 45R","KOSPI","신주인수권증서","보통주","2020/06/24","2020/07/01",,,,,"0","63409774",,
"103","0034901B","대한항공 46R","KOSPI","신주인수권증서","보통주","2021/02/16","2021/02/23",,,,,"0","138632699",,
"104","00349015","대한항공43R","KOSPI","신주인수권증서","보통주","2015/02/26","2015/03/05",,,,,"0","11302285",,
"105","0058801B","대한해운 26R","KOSPI","신주인수권증서","보통주","2021/05/24","2021/05/31",,,,,"0","59857690",,
"106","02104017","대호피앤씨 15R","KOSDAQ","신주인수권증서","보통주","2017/04/04","2017/04/11",,,,,"0","22996959",,
"107","00162017","동국실업 7R","KOSPI","신주인수권증서","보통주","2017/11/16","2017/11/23",,,,,"0","23900000",,
"108","00123014","동국제강12R","KOSPI","신주인수권증서","보통주","2014/06/09","2014/06/16",,,,,"0","21582082",,
"109","00414016","동방 17R","KOSPI","신주인수권증서","보통주","2016/10/19","2016/10/26",,,,,"0","8797902",,
"110","0041401B","동방 20R","KOSPI","신주인수권증서","보통주","2021/11/16","2021/11/23",,,,,"0","6367650",,
"111","09941013","동방선기 4R","KOSDAQ","신주인수권증서","보통주","2013/07/23","2013/07/30",,,,,"0","4078876",,
"112","01203012","동부CNI 8R","KOSPI","신주인수권증서","보통주","2012/05/09","2012/05/16",,,,,"0","7283782",,
"113","09071012","동부로봇12R","KOSDAQ","신주인수권증서","보통주","2012/08/29","2012/09/05",,,,,"0","1784378",,
"114","05873016","동아에스텍 13R","KOSPI","신주인수권증서","보통주","2016/04/07","2016/04/15",,,,,"0","2062884",,
"115","03079015","동양네트웍스 13R","KOSPI","신주인수권증서","보통주","2015/11/30","2015/12/07",,,,,"0","16797441",,
"116","00152011","동양메이저 51R","KOSPI","신주인수권증서","보통주","2011/02/21","2011/02/28",,,,,"0","124128002",,
"117","00152021","동양메이저 52R","KOSPI","신주인수권증서","보통주","2011/02/21","2011/02/28",,,,,"0","15991532",,
"118","00290019","동양물산 22R","KOSPI","신주인수권증서","보통주","2019/10/08","2019/10/16",,,,,"0","49993316",,
"119","00897018","동양철관 39R","KOSPI","신주인수권증서","보통주","2018/11/22","2018/11/29",,,,,"0","29980611",,
"120","01850018","동원금속 18R","KOSPI","신주인수권증서","보통주","2018/02/22","2018/03/02",,,,,"0","8637103",,
"121","0026901B","동일제강 3R","KOSPI","신주인수권증서","보통주","2021/10/20","2021/10/27",,,,,"0","4235884",,
"122","01116019","두산건설 46R","KOSPI","신주인수권증서","보통주","2019/04/18","2019/04/25",,,,,"0","267721411",,
"123","03402019","두산중공업 36R","KOSPI","신주인수권증서","보통주","2019/04/19","2019/04/26",,,,,"0","67963474",,
"124","0340201A","두산중공업 40R","KOSPI","신주인수권증서","보통주","2020/11/18","2020/11/25",,,,,"0","97090343",,
"125","0340201C","두산중공업 44R","KOSPI","신주인수권증서","보통주","2022/01/21","2022/01/28",,,,,"0","66063103",,
"126","3362601A","두산퓨얼셀 9R","KOSPI","신주인수권증서","보통주","2020/11/20","2020/11/27",,,,,"0","9326843",,
"127","20365019","드림시큐리티 6R","KOSDAQ","신주인수권증서","보통주","2019/10/22","2019/10/29",,,,,"0","14793978",,
"128","1926501A","드림텍 18R","KOSPI","신주인수권증서","보통주","2020/11/20","2020/11/27",,,,,"0","2959936",,
"129","09220019","디아이씨6R","KOSPI","신주인수권증서","보통주","2019/07/24","2019/07/31",,,,,"0","11921493",,
"130","03343019","디에스티 57R","KOSDAQ","신주인수권증서","보통주","2019/07/24","2019/07/31",,,,,"0","24646541",,
"131","1271201A","디엔에이링크 17R","KOSDAQ","신주인수권증서","보통주","2020/11/17","2020/11/24",,,,,"0","2492748",,
"132","10100013","디엠씨10R","KOSDAQ","신주인수권증서","보통주","2013/11/29","2013/12/06",,,,,"0","2679435",,
"133","10886013","디오텍 8R","KOSDAQ","신주인수권증서","보통주","2013/06/19","2013/06/26",,,,,"0","3359044",,
"134","11381018","디젠스 9R","KOSDAQ","신주인수권증서","보통주","2018/06/01","2018/06/11",,,,,"0","9996552",,
"135","11545013","디지탈아리아7R","KOSDAQ","신주인수권증서","보통주","2014/01/07","2014/01/14",,,,,"0","8997089",,
"136","05116010","디지털오션 12R","KOSDAQ","신주인수권증서","보통주","2010/10/15","2010/10/22",,,,,"0","4348616",,
