번호,종목코드,종목명,시장구분,증권구분,주식종류,상장일,폐지일,폐지사유,정리매매기간_시작일,정리매매기간_종료일,업종,액면가,상장주식수,이전상장후_종목코드,이전상장후_종목명
"109","1154801B","씨유메디칼 22R","KOSDAQ","신주인수권증서","보통주","2021/07/14","2021/07/21",,,,,"0","14993029",,
"110","0121701B","아센디오 105R","KOSPI","신주인수권증서","보통주","2021/10/19","2021/10/26",,,,,"0","16993067",,
"111","24672018","아스타 4R","KOSDAQ","신주인수권증서","보통주","2018/07/17","2018/07/24",,,,,"0","1997638",,
"112","06739019","아스트 18R","KOSDAQ","신주인수권증서","보통주","2019/05/07","2019/05/14",,,,,"0","7569814",,
"113","10139018","아이엠 9R","KOSDAQ","신주인수권증서","보통주","2018/06/11","2018/06/19",,,,,"0","14994855",,
"114","1230101C","아이윈플러스 44R","KOSDAQ","신주인수권증서","보통주","2022/07/06","2022/07/13",,,,,"0","58997190",,
"115","1854901B","아이진 16R","KOSDAQ","신주인수권증서","보통주","2021/06/02","2021/06/09",,,,,"0","4186607",,
"116","1752501C","아이큐어 15R","KOSDAQ","신주인수권증서","보통주","2022/11/18","2022/11/25",,,,,"0","12310364",,
"117","01331018","아진산업 10R","KOSDAQ","신주인수권증서","보통주","2018/02/21","2018/02/28",,,,,"0","9165301",,
"118","3478601C","알체라 7R","KOSDAQ","신주인수권증서","보통주","2022/10/13","2022/10/20",,,,,"0","3970887",,
"119","09260019","앤씨앤 10R","KOSDAQ","신주인수권증서","보통주","2019/07/24","2019/07/31",,,,,"0","7495529",,
"120","2174801C","에스디생명공학 16R","KOSDAQ","신주인수권증서","보통주","2022/09/22","2022/09/29",,,,,"0","18994817",,
"121","12189018","에스디시스템 3R","KOSDAQ","신주인수권증서","보통주","2018/02/20","2018/02/27",,,,,"0","2023382",,
"122","0959101B","에스에너지 12R","KOSDAQ","신주인수권증서","보통주","2021/07/06","2021/07/13",,,,,"0","4493036",,
"123","1096101A","에스와이 11R","KOSDAQ","신주인수권증서","보통주","2020/09/22","2020/09/29",,,,,"0","9994716",,
"124","2343001B","에스트래픽 11R","KOSDAQ","신주인수권증서","보통주","2021/12/02","2021/12/09",,,,,"0","2789837",,
"125","2343001A","에스트래픽 9R","KOSDAQ","신주인수권증서","보통주","2020/10/23","2020/10/30",,,,,"0","5495374",,
"126","03944018","에스티아이 14R","KOSDAQ","신주인수권증서","보통주","2018/02/27","2018/03/07",,,,,"0","3080557",,
"127","0520201C","에스티큐브 27R","KOSDAQ","신주인수권증서","보통주","2022/04/26","2022/05/03",,,,,"0","11495335",,
"128","2886201A","에스퓨얼셀 3R","KOSDAQ","신주인수권증서","보통주","2020/12/02","2020/12/09",,,,,"0","787028",,
"129","2986901A","에어부산 4R","KOSPI","신주인수권증서","보통주","2020/11/06","2020/11/13",,,,,"0","23990552",,
"130","2986901B","에어부산 5R","KOSPI","신주인수권증서","보통주","2021/09/03","2021/09/10",,,,,"0","106235101",,
"131","2986901C","에어부산 7R","KOSPI","신주인수권증서","보통주","2022/08/31","2022/09/07",,,,,"0","49370012",,
"132","05463019","에이디칩스 21R","KOSDAQ","신주인수권증서","보통주","2019/10/21","2019/10/28",,,,,"0","16991281",,
"133","0546301B","에이디칩스 26R","KOSDAQ","신주인수권증서","보통주","2021/07/22","2021/07/29",,,,,"0","26685760",,
"134","2007101A","에이디테크놀로지 16R","KOSDAQ","신주인수권증서","보통주","2020/06/22","2020/06/29",,,,,"0","3194320",,
"135","01526018","에이엔피 33R","KOSPI","신주인수권증서","보통주","2018/01/25","2018/02/01",,,,,"0","27275030",,
"136","0283001A","에이치엘비 78R","KOSDAQ","신주인수권증서","보통주","2020/05/11","2020/05/18",,,,,"0","4249738",,
"137","0283001C","에이치엘비 86R","KOSDAQ","신주인수권증서","보통주","2022/11/16","2022/11/23",,,,,"0","9499322",,
"138","06763018","에이치엘비생명과학 23R","KOSDAQ","신주인수권증서","보통주","2018/09/21","2018/10/04",,,,,"0","9019133",,
"139","0895301B","에이티세미콘 26R","KOSDAQ","신주인수권증서","보통주","2021/09/07","2021/09/14",,,,,"0","15992366",,
"140","00306019","에이프로젠제약 87R","KOSPI","신주인수권증서","보통주","2019/07/08","2019/07/15",,,,,"0","106886967",,
"141","2302401A","에치에프알 7R","KOSDAQ","신주인수권증서","보통주","2020/12/02","2020/12/09",,,,,"0","795134",,
"142","0645101A","에코마이스터 16R","KOSDAQ","신주인수권증서","보통주","2020/06/19","2020/06/26",,,,,"0","12993787",,
"143","1285401C","에코캡 3R","KOSDAQ","신주인수권증서","보통주","2022/05/06","2022/05/13",,,,,"0","5594430",,
"144","2475401C","에코프로비엠 15R","KOSDAQ","신주인수권증서","보통주","2022/05/30","2022/06/08",,,,,"0","1247167",,
"145","0381101B","에코플라스틱 6R","KOSDAQ","신주인수권증서","보통주","2021/10/21","2021/10/28",,,,,"0","8483631",,
"146","1834902B","엔지켐생명과학 33R","KOSDAQ","신주인수권증서","보통주","2022/02/03","2022/02/10",,,,,"0","5285594",,
"147","0098101A","엔케이물산 76R","KOSPI","신주인수권증서","보통주","2020/12/01","2020/12/08",,,,,"0","37647313",,
"148","CYM0801A","엘브이엠씨홀딩스 8R","KOSPI","신주인수권증서","보통주","2020/09/09","2020/09/16",,,,,"0","33223367",,
"149","0669701A","엘앤에프 24R","KOSDAQ","신주인수권증서","보통주","2020/07/22","2020/07/29",,,,,"0","2958867",,
"150","0669701B","엘앤에프 27R","KOSDAQ","신주인수권증서","보통주","2021/07/02","2021/07/09",,,,,"0","6271752",,
"151","3232301B","엠에프엠코리아 7R","KOSDAQ","신주인수권증서","보통주","2021/11/19","2021/11/26",,,,,"0","9997827",,
"152","0333101B","엠투엔 16R","KOSDAQ","신주인수권증서","보통주","2021/07/29","2021/08/05",,,,,"0","8293218",,
"153","00753018","영신금속 6R","KOSDAQ","신주인수권증서","보통주","2018/04/12","2018/04/19",,,,,"0","6538565",,
"154","14354019","영우디에스피 16R","KOSDAQ","신주인수권증서","보통주","2019/01/29","2019/02/08",,,,,"0","17998022",,
"155","04506018","오공 5R","KOSDAQ","신주인수권증서","보통주","2018/08/24","2018/08/31",,,,,"0","5417098",,
"156","00263019","오리엔트바이오 28R","KOSPI","신주인수권증서","보통주","2019/01/09","2019/01/16",,,,,"0","52184842",,
"157","06550018","오리엔트정공 20R","KOSDAQ","신주인수권증서","보통주","2018/08/03","2018/08/10",,,,,"0","49997154",,
"158","0655001B","오리엔트정공 22R","KOSDAQ","신주인수권증서","보통주","2021/12/20","2021/12/27",,,,,"0","8290500",,
"159","05242018","오성첨단소재 30R","KOSDAQ","신주인수권증서","보통주","2018/04/27","2018/05/08",,,,,"0","17488178",,
"160","0392001C","오스코텍 30R","KOSDAQ","신주인수권증서","보통주","2022/10/21","2022/10/28",,,,,"0","6386115",,
"161","13808019","오이솔루션 6R","KOSDAQ","신주인수권증서","보통주","2019/11/29","2019/12/06",,,,,"0","710849",,
"162","05768018","옴니텔 30R","KOSDAQ","신주인수권증서","보통주","2018/10/15","2018/10/22",,,,,"0","11993652",,
"163","0664301C","와이오엠 69R","KOSDAQ","신주인수권증서","보통주","2022/12/05","2022/12/12",,,,,"0","19996241",,
"164","1180001B","우리들휴브레인21R","KOSPI","신주인수권증서","보통주","2021/06/24","2021/07/01",,,,,"0","27125201",,
"165","0100501A","우리종금 32R","KOSPI","신주인수권증서","보통주","2020/10/13","2020/10/20",,,,,"0","181635193",,
"166","01862018","우진비앤지 13R","KOSDAQ","신주인수권증서","보통주","2018/01/15","2018/01/22",,,,,"0","2397562",,
"167","01862019","우진비앤지 15R","KOSDAQ","신주인수권증서","보통주","2019/01/24","2019/01/31",,,,,"0","9747841",,
"168","09572018","웅진씽크빅 7R","KOSPI","신주인수권증서","보통주","2018/12/21","2019/01/02",,,,,"0","33594377",,
