일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금
"2022/08/10","75210","400","0.53","74820","75360","74820","48309","3636390550"
"2022/08/09","74810","310","0.42","74680","74950","74680","29072","2176008580"
"2022/08/08","74500","-160","-0.21","74500","74510","74280","25815","1920450620"
"2022/08/05","74660","40","0.05","75040","75210","74630","28130","2108720030"
"2022/08/04","74620","140","0.19","74340","74790","74260","51450","3837774280"
"2022/08/03","74480","-50","-0.07","74230","74540","74230","30923","2299652200"
"2022/08/02","74530","680","0.92","74420","74860","74420","44566","3326793980"
"2022/08/01","73850","100","0.14","73750","74110","73750","27329","2022302860"
"2022/07/29","73750","880","1.21","73010","73750","73010","28640","2103892540"
"2022/07/28","72870","220","0.30","72800","73080","72680","25960","1890800360"
"2022/07/27","72650","50","0.07","72580","72660","72500","30770","2233356900"
"2022/07/26","72600","-110","-0.15","72650","72750","72430","31644","2298894460"
"2022/07/25","72710","320","0.44","72690","72730","72440","35462","2573842670"
"2022/07/22","72390","1060","1.49","72250","72480","72240","39261","2841245940"
"2022/07/21","71330","-870","-1.20","71790","71830","71300","64738","4630163350"
"2022/07/20","72200","-160","-0.22","72070","72330","71830","60361","4354079260"
"2022/07/19","72360","-460","-0.63","72700","72700","72280","50526","3661633840"
"2022/07/18","72820","-80","-0.11","72880","72930","72610","39040","2839543770"
"2022/07/15","72900","40","0.05","72610","73010","72570","35676","2596469500"
"2022/07/14","72860","200","0.28","72800","73000","72790","19209","1400148980"
"2022/07/13","72660","-450","-0.62","72790","72790","72580","62373","4533317340"
"2022/07/12","73110","90","0.12","73000","73390","72860","47738","3491162650"
"2022/07/11","73020","-60","-0.08","72890","73050","72690","33402","2433575490"
"2022/07/08","73080","-100","-0.14","73210","73210","72880","50615","3695690890"
"2022/07/07","73180","-1310","-1.76","74450","74450","73040","92302","6764316590"
"2022/07/06","74490","-1220","-1.61","74920","74920","74320","137758","10267964510"
"2022/07/05","75710","10","0.01","75540","75740","75280","25478","1923310010"
"2022/07/04","75700","460","0.61","75450","75840","75450","25176","1904042930"
"2022/07/01","75240","-720","-0.95","75060","75330","74970","114225","8582488510"
"2022/06/30","75960","30","0.04","75850","76240","75830","26540","2017552970"
"2022/06/29","75930","250","0.33","75680","75930","75560","25283","1916327090"
"2022/06/28","75680","-520","-0.68","75600","75690","75440","100686","7615712330"
"2022/06/27","76200","-70","-0.09","76310","76310","75700","64035","4863147010"
"2022/06/24","76270","-410","-0.53","76480","76480","76100","42480","3239988820"
"2022/06/23","76680","440","0.58","76480","76700","76470","78232","5993848280"
"2022/06/22","76240","-140","-0.18","76220","76240","76100","42009","3200232810"
"2022/06/21","76380","-100","-0.13","76480","76480","76300","44171","3373711630"
"2022/06/20","76480","100","0.13","76350","76500","76170","60473","4621676240"
"2022/06/17","76380","500","0.66","76450","76780","76100","55871","4272839070"
"2022/06/16","75880","280","0.37","75650","75880","75550","33883","2565277980"
"2022/06/15","75600","-140","-0.18","75320","75680","75150","46473","3503408540"
"2022/06/14","75740","-1180","-1.53","75990","75990","75580","121459","9231058600"
"2022/06/13","76920","1610","2.14","76980","77330","76690","205710","15859707900"
"2022/06/10","75310","340","0.45","75100","75320","75100","33039","2485616130"
"2022/06/09","74970","110","0.15","74990","75160","74900","67433","5061212900"
"2022/06/08","74860","260","0.35","74950","74980","74750","23475","1757693030"
"2022/06/07","74600","-150","-0.20","74360","74740","74260","29931","2231039060"
"2022/06/03","74750","240","0.32","75020","75050","74550","23723","1773484610"
"2022/06/02","74510","410","0.55","74110","74590","74110","28079","2090050440"
"2022/05/31","74100","-410","-0.55","74440","74440","73860","57533","4256156740"
"2022/05/30","74510","-590","-0.79","74720","74830","74440","66607","4974660880"
"2022/05/27","75100","-280","-0.37","75500","75500","74930","56744","4258938600"
"2022/05/26","75380","-350","-0.46","75690","75690","75340","46429","3504299740"
"2022/05/25","75730","280","0.37","75700","75920","75700","80583","6104597510"
"2022/05/24","75450","-80","-0.11","75530","75560","75410","44471","3357290160"
"2022/05/23","75530","210","0.28","75400","75770","75330","31116","2350450960"
"2022/05/20","75320","790","1.06","75030","75350","75030","31322","2355887170"
"2022/05/19","74530","510","0.69","74370","74590","74370","35753","2663012840"
"2022/05/18","74020","-1080","-1.44","74610","74610","74000","93891","6965103180"
"2022/05/17","75100","270","0.36","75230","75400","75040","38872","2920535360"
"2022/05/16","74830","-680","-0.90","75050","75050","74490","64436","4820741410"
"2022/05/13","75510","-1160","-1.51","75900","75900","75450","117863","8909855010"
"2022/05/12","76670","960","1.27","76250","76810","76250","54065","4143881880"
"2022/05/11","75710","-750","-0.98","75790","75790","75410","89738","6778258780"
"2022/05/10","76460","-240","-0.31","76610","76610","76150","72464","5533525500"
"2022/05/09","76700","-90","-0.12","76790","77090","76660","51235","3936884420"
"2022/05/06","76790","850","1.12","76630","76950","76630","65996","5068188430"
"2022/05/04","75940","0","0.00","76000","76020","75550","83860","6355991100"
"2022/05/03","75940","-760","-0.99","76090","76150","75800","114472","8694109450"
"2022/05/02","76700","-420","-0.54","77120","77170","76650","105452","8101744050"
"2022/04/29","77120","340","0.44","77150","77500","77100","60173","4657164110"
"2022/04/28","76780","-370","-0.48","76820","76920","76550","122903","9437064010"
"2022/04/27","77150","600","0.78","76950","77270","76900","84437","6512004530"
"2022/04/26","76550","-240","-0.31","76350","76590","76180","148446","11324836940"
"2022/04/25","76790","-860","-1.11","77000","77090","76760","153798","11830780230"
"2022/04/22","77650","160","0.21","77600","77750","77510","40554","3148620580"
"2022/04/21","77490","660","0.86","77190","77550","77190","63660","4929706600"
"2022/04/20","76830","-1420","-1.81","77400","77670","76780","172495","13326955310"
"2022/04/19","78250","-90","-0.11","78160","78340","78090","100822","7879098130"
"2022/04/18","78340","700","0.90","78160","78450","78160","168807","13216891230"
"2022/04/15","77640","290","0.37","77560","77790","77560","77075","5980424040"
"2022/04/14","77350","-90","-0.12","77450","77610","77290","82771","6411545640"
"2022/04/13","77440","40","0.05","77510","77600","77340","99193","7680468400"
"2022/04/12","77400","790","1.03","76780","77400","76780","166050","12822475890"
"2022/04/11","76610","730","0.96","76660","76770","76490","112817","8635316640"
"2022/04/08","75880","490","0.65","75820","75950","75810","57856","4389900110"
"2022/04/07","75390","130","0.17","75350","75520","75200","51475","3876104240"
"2022/04/06","75260","50","0.07","75210","75500","75180","59965","4514578240"
"2022/04/05","75210","60","0.08","75170","75420","75050","40640","3057317240"
"2022/04/04","75150","-450","-0.60","75600","75600","74940","68951","5186425870"
"2022/04/01","75600","610","0.81","75000","75660","75000","98403","7428827630"
"2022/03/31","74990","70","0.09","75010","75300","74770","81469","6107619060"
"2022/03/30","74920","-350","-0.46","74480","74930","74480","148870","11132582430"
"2022/03/29","75270","-650","-0.86","75350","75410","75120","112540","8471039520"
"2022/03/28","75920","-230","-0.30","76500","76560","75800","96558","7363542370"
"2022/03/25","76150","500","0.66","76180","76330","76130","107321","8173435960"
"2022/03/24","75650","950","1.27","75490","76090","75490","94533","7170022260"
"2022/03/23","74700","-700","-0.93","75300","75300","74630","93636","7010405800"
"2022/03/22","75400","320","0.43","75330","75720","75260","105216","7951101150"
"2022/03/21","75080","80","0.11","74650","75180","74490","140302","10504358740"
"2022/03/18","75000","-170","-0.23","75370","75580","75000","173217","13031443650"
"2022/03/17","75170","-620","-0.82","75700","75730","75100","231398","17459677930"
"2022/03/16","75790","-950","-1.24","76010","76300","75780","212349","16142834280"
"2022/03/15","76740","-1270","-1.63","77500","77500","76460","252778","19499689410"
"2022/03/14","78010","230","0.30","77750","78040","77610","154161","12004411950"
"2022/03/11","77780","650","0.84","77260","78150","77260","287155","22357452720"
"2022/03/10","77130","-1230","-1.57","77350","77400","76610","476463","36689811560"
"2022/03/08","78360","1400","1.82","77670","78370","77490","311750","24315946700"
"2022/03/07","76960","2030","2.71","76470","77340","76470","356785","27505202730"
"2022/03/04","74930","850","1.15","74420","75350","74420","222749","16686310010"
"2022/03/03","74080","-290","-0.39","74010","74100","73880","134744","9972794550"
"2022/03/02","74370","870","1.18","74520","74630","74130","184978","13763635300"
"2022/02/28","73500","140","0.19","73300","73750","73270","126211","9284870160"
"2022/02/25","73360","-1000","-1.34","73700","73700","73060","223412","16394913440"
"2022/02/24","74360","1810","2.49","73000","74690","73000","411967","30362630120"
"2022/02/23","72550","-440","-0.60","73010","73010","72500","101762","7395390600"
"2022/02/22","72990","600","0.83","72980","73230","72930","128777","9408404540"
"2022/02/21","72390","-40","-0.06","72510","73240","72340","110979","8083951180"
