,회사명,종목코드,회계년도,거래월,종가,자산,부채,당기순이익,현금흐름,매출액,비유동자산,매출총이익,법인세비용,이자비용,감가상각비,유동자산,유동부채,현금및현금성자산,상장주식수,시가총액,pbr,per,pcr,psr,roe,roa,roic,gpa,매직
23,(주)녹십자,6280,2016/12,12.0,157000.0,1550614664.0,491603630.0,65152451.0,-1742285.0,1197903918.0,749237212.0,352078338.0,14358273.0,0.0,2870000.0,801377452.0,303297155.0,56920251.0,11686538.0,1834786466000.0,1732.5470718372137,28161.434264384006,-1053092.0406248118,1531.6641330160505,0.06152197560578014,0.042017177131506864,0.0813005791932364,0.2270572735922482,4.3324873422968533e-05
24,(주)녹십자,6280,2017/12,12.0,226000.0,1703581525.0,594868624.0,56711043.0,57879006.0,1287916286.0,777044552.0,366803859.0,15440672.0,0.0,2646000.0,926536973.0,260055247.0,170978987.0,11686538.0,2641157588000.0,2382.183508118122,46572.19208611628,45632.39368692683,2050.721476783934,0.05115034103855891,0.03328930383886383,0.06120753370087045,0.21531335813236177,2.7313832872776874e-05
25,(주)녹십자,6280,2018/12,12.0,136000.0,1723409866.0,597203089.0,34249900.0,14410216.0,1334877810.0,829979458.0,345867684.0,15901358.0,0.0,2640000.0,893430409.0,303482276.0,96635651.0,11686538.0,1589369168000.0,1411.258749688735,46405.07470094803,110294.61098986997,1190.6476803296325,0.03041173317322348,0.019873334066198272,0.03833527457014872,0.20068800279225046,3.1544256036915886e-05
26,(주)녹십자,6280,2019/12,12.0,132500.0,1959299528.0,775222803.0,-11287400.0,40291382.0,1369709727.0,997519423.0,372315308.0,5145885.0,0.0,4474000.0,961780105.0,401422956.0,98461664.0,11686538.0,1548466285000.0,1307.7415105849666,-137185.38237326578,38431.69948849111,1130.5068909684394,-0.009532659296212415,-0.0057609364156392525,-0.011735946648636489,0.19002470152179815,-3.964459586418942e-06
27,(주)녹십자,6280,2020/12,12.0,406000.0,2151399594.0,882093850.0,89270741.0,35973501.0,1504115279.0,1019356275.0,440626609.0,15365726.0,0.0,5101000.0,1132043319.0,589402990.0,232288414.0,11686538.0,4744734428000.0,3738.0547991910767,53149.93888087027,131895.26446147123,3154.5018485248697,0.07033036872477905,0.04149426319915909,0.07885806090782645,0.20480928332832993,2.205015692148403e-05
28,(주)녹십자,6280,2021/12,12.0,218000.0,2462144732.0,962387715.0,136949879.0,125978949.0,1537825750.0,1366523898.0,520593272.0,35609407.0,0.0,6043000.0,1095620834.0,552882863.0,186060277.0,11686538.0,2547665284000.0,1698.718695843248,18602.902774379232,20222.94442224629,1656.6670729762457,0.0913147112816609,0.05562218874467043,0.12499751259750141,0.2114389398941313,6.77116890673554e-05
29,(주)녹십자,6280,2022/12,12.0,129500.0,2525537081.0,958895150.0,69414785.0,119154311.0,1711312740.0,1545099192.0,581804463.0,16313075.0,0.0,6601000.0,980437889.0,540738447.0,105365808.0,11686538.0,1513406671000.0,966.0195102999576,21802.367766463587,12701.233033859764,884.3542361520665,0.04430800914136901,0.027485157720398563,0.07079977811832606,0.23036860847421467,5.66136916103574e-05
30,(주)녹십자홀딩스,5250,2013/12,12.0,12450.0,1624124363.0,524457217.0,80790983.0,17568308.0,938298393.0,1000385090.0,299035048.0,27915554.0,0.0,3263000.0,623739273.0,326345229.0,39188604.0,47028210.0,585501214500.0,532.4349432732803,7247.110912117507,33327.12601008589,624.0032156806647,0.07346857937319881,0.04974433290980686,0.1295268495944138,0.18412078213495772,0.00018551031488389696
31,(주)녹십자홀딩스,5250,2014/12,12.0,20900.0,1790874896.0,609807797.0,101469183.0,54542863.0,1044768160.0,955745766.0,337320618.0,38603925.0,0.0,3701000.0,835129130.0,433012692.0,47622345.0,47028210.0,982889589000.0,832.2046984732744,9686.582270008028,18020.498648924975,940.772916548299,0.08591313997817156,0.05665900126616103,0.12150118988185696,0.18835521049148707,0.00014243007297236478
32,(주)녹십자홀딩스,5250,2015/12,12.0,41950.0,2058661120.0,751282335.0,112848610.0,7035743.0,1132876997.0,969037961.0,369603674.0,44124188.0,0.0,3992000.0,1089623159.0,503329013.0,163231260.0,47028210.0,1972833409500.0,1508.9990996756155,17482.12414401914,280401.5737214961,1741.4365502382957,0.08631669053739464,0.05481650617659695,0.10356664051043724,0.17953594713053114,7.954347367554344e-05
33,(주)녹십자홀딩스,5250,2016/12,12.0,23800.0,2249277259.0,872266114.0,74263537.0,-805470.0,1354466206.0,1129778690.0,392767841.0,25700480.0,0.0,4166000.0,1119498569.0,503698348.0,113580392.0,47028210.0,1119271398000.0,812.8266804986534,15071.614458654185,-1389587.93996052,826.3560899798485,0.05393096291896751,0.03301662198506227,0.0663364286980165,0.17461957587861782,8.925118927860141e-05
34,(주)녹십자홀딩스,5250,2017/12,12.0,39250.0,2560695918.0,1121028362.0,70728142.0,144482444.0,1465489007.0,1369328751.0,412287475.0,25417628.0,0.0,4547000.0,1191367167.0,569086836.0,268838855.0,47028210.0,1845857242500.0,1282.1413074200027,26097.917891014302,12775.650739269055,1259.5503846723839,0.04912810718365595,0.027620671983279197,0.05936720765782191,0.16100602656562676,5.2063290701617834e-05
35,(주)녹십자홀딩스,5250,2018/12,12.0,25100.0,2628599972.0,1175483426.0,19378934.0,37643839.0,1548714795.0,1484007738.0,406554168.0,23809637.0,0.0,6240000.0,1144592235.0,661788716.0,250793373.0,47028210.0,1180408071000.0,812.3285597767875,60911.919664931,31357.27126555822,762.1855714240787,0.013336118189104977,0.007372340487873976,0.016930862733775982,0.15466566702071013,3.6559191807652206e-05
36,(주)녹십자홀딩스,5250,2019/12,12.0,22250.0,2773868507.0,1267272303.0,-30476552.0,7650392.0,1524799074.0,1650217892.0,429787502.0,16716143.0,0.0,10957000.0,1123650615.0,676336262.0,176459896.0,47028210.0,1046377672500.0,694.5309365056651,-34333.86009349089,136774.38652816744,686.2397087867066,-0.02022874604295764,-0.010987021166681423,-0.02712280097848743,0.15494155577865681,-1.3136823874201547e-05
37,(주)녹십자홀딩스,5250,2020/12,12.0,41500.0,3241202077.0,1567701359.0,179995784.0,38138269.0,1719325650.0,1705397765.0,530290892.0,37558189.0,0.0,5710000.0,1535804313.0,1102777531.0,447571704.0,47028210.0,1951670715000.0,1166.220422858522,10842.86904742169,51173.552606700636,1135.1373225892373,0.10755644264982024,0.055533650702396485,0.11719968657048542,0.16360932746619364,0.00011140586469147583
38,(주)녹십자홀딩스,5250,2021/12,12.0,27150.0,3496833927.0,1586104973.0,127657537.0,103769151.0,1840558603.0,2071969595.0,628541184.0,52355324.0,0.0,6933000.0,1424864332.0,925912757.0,335568961.0,47028210.0,1276815901500.0,668.2349680351366,10001.884193488708,12304.388049777916,693.7110828304335,0.06681090833566758,0.036506605593797765,0.08959276622554968,0.17974579208548155,0.00014084781175415995
39,(주)녹십자홀딩스,5250,2022/12,12.0,17000.0,3592060735.0,1625017216.0,58897359.0,97156791.0,2079559971.0,2330082504.0,698336717.0,-29267887.0,0.0,9167000.0,1261978231.0,1052354394.0,208636861.0,47028210.0,799479570000.0,406.43715417462505,13574.115776566485,8228.75644379815,384.44650846763193,0.029942072166223386,0.016396537627028737,0.04667066162728444,0.19441116632455827,3.699540743946405e-05
40,(주)농심,4370,2013/12,12.0,251000.0,2215391017.0,698717861.0,86896539.0,162221442.0,2086651379.0,1297050909.0,586115961.0,31163649.0,0.0,28384190.0,918340108.0,587440730.0,111567192.0,6082642.0,1526743142000.0,1006.639522800389,17569.665714764546,9411.47559272713,731.6714029785231,0.05729417617516005,0.03922401884506693,0.09462348234930844,0.26456546790268043,7.729840006884862e-05
41,(주)농심,4370,2014/12,12.0,252500.0,2224132075.0,670659167.0,64454972.0,98665546.0,2041702670.0,1324487586.0,585347641.0,32874828.0,0.0,27852687.0,899644489.0,553719336.0,115370645.0,6082642.0,1535867105000.0,988.6668104031074,23828.527999360547,15566.39746360903,752.2481738244481,0.04149088900622141,0.02897983115503606,0.07164493618100738,0.26318025245870347,6.334833468346369e-05
42,(주)농심,4370,2015/12,12.0,439500.0,2418707598.0,772235674.0,117412116.0,201851914.0,2181623581.0,1420884507.0,672000673.0,36112828.0,0.0,27800185.0,997823091.0,634365756.0,168848965.0,6082642.0,2673321159000.0,1623.6664106031849,22768.69926268938,13243.97230635128,1225.3814921521057,0.07131133807295945,0.04854332789010406,0.11766826911404879,0.27783460619864475,5.7415585733849625e-05
43,(주)농심,4370,2016/12,12.0,332500.0,2481287284.0,678899069.0,199229661.0,220960821.0,2217015272.0,1424336033.0,713304746.0,34063538.0,0.0,28472635.0,1056951251.0,549356596.0,179380604.0,6082642.0,2022478465000.0,1122.1103467989553,10151.492778979331,9153.108935090351,912.2528340436259,0.11053648672464272,0.08029286342000211,0.18849465461297799,0.2874736636098442,0.00011532166978921362
44,(주)농심,4370,2017/12,12.0,354000.0,2449898373.0,608800458.0,90685629.0,103437685.0,2208260640.0,1464045310.0,734369195.0,28748081.0,0.0,28752077.0,985853063.0,489271081.0,155384212.0,6082642.0,2153255268000.0,1169.5495662977817,23744.173048631554,20816.932126816257,975.0910870738519,0.04925627706226586,0.037016077890999116,0.09198696276708733,0.29975496252962325,5.5454904775950695e-05
45,(주)농심,4370,2018/12,12.0,254500.0,2532286535.0,634536236.0,84301647.0,146872696.0,2236436215.0,1478533653.0,671743356.0,28020670.0,0.0,29166094.0,1053752882.0,522231432.0,167718554.0,6082642.0,1548032389000.0,815.7197444867851,18363.01477004358,10539.960327275534,692.1871406916025,0.0444218857688611,0.03329072197589993,0.080001344186122,0.2652714638393005,7.253624445870738e-05
46,(주)농심,4370,2019/12,12.0,240500.0,2653049875.0,712306478.0,71068947.0,162459540.0,2343942952.0,1574469193.0,717908499.0,32422991.0,0.0,32404470.0,1078580682.0,584986896.0,317796185.0,6082642.0,1462875401000.0,753.770644414564,20583.890190465325,9004.552154955012,624.1087905965384,0.03661944547118302,0.026787640771359415,0.06589117363776407,0.2705974379769246,7.0726485388161e-05
47,(주)농심,4370,2020/12,12.0,300000.0,2725528185.0,676564197.0,149048288.0,231491674.0,2639795633.0,1651092099.0,837195761.0,41503996.0,0.0,37153771.0,1074436086.0,522145640.0,321541825.0,6082642.0,1824792600000.0,890.5928121173012,12242.962495483342,7882.756940968858,691.2628300419649,0.07274324432880175,0.05468601969346356,0.13872233997174216,0.3071682639744927,0.00010440376529781973
48,(주)농심,4370,2021/12,12.0,318500.0,2899907794.0,699140508.0,99637363.0,162684342.0,2662982988.0,1811216285.0,818112081.0,37179555.0,0.0,38321709.0,1088691509.0,537328993.0,157475656.0,6082642.0,1937321477000.0,880.2936545468079,19443.72491070443,11908.469205966976,727.5005081632163,0.045273920433948144,0.03435880382340184,0.09152029034516884,0.28211658408336276,7.060195069773874e-05
49,(주)농심,4370,2022/12,12.0,357000.0,3034718536.0,719378357.0,116033570.0,159650440.0,3129065208.0,1826193921.0,899562575.0,42807029.0,0.0,39287696.0,1208524615.0,616485544.0,127900573.0,6082642.0,2171503194000.0,937.8765218586051,18714.43922651005,13601.61108231208,693.9782489825312,0.05011512824440127,0.03823536470467586,0.09601258307841748,0.29642372573559816,7.312784339622725e-05
50,(주)대우건설,47040,2013/12,12.0,7370.0,10122312287.0,7468717738.0,-718036005.0,-505453533.0,8782195639.0,3173473153.0,340001478.0,-121688653.0,0.0,0.0,6948839134.0,4757060360.0,409596263.0,415622638.0,3063138842060.0,1154.335670162699,-4265.9961627690245,-6060.178912746862,348.7896384882619,-0.2705899457287437,-0.07093596647103721,-0.10333179271437139,0.03358930927636574,-0.0002735083105302917
