회사명,거래소코드,회계년도,종가,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),EV/EBITDA(IFRS),자기자본순이익률(IFRS),자산(*)(IFRS),당기순이익(손실)(IFRS),판매비와 관리비(물류원가 등 포함)(*)(IFRS),연구개발비(IFRS),매출액(수익)(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS)
일양약품(주),007570,2018/12,27500,0,0,6.72,3.59,314.29,167.69,4.83,2.58,110.9,-5.22,374721996,-9456536,67333138,11845973,186423161,-4173449
일양약품(주),007570,2019/12,22550,156.88,83.32,4.75,2.52,29.73,15.79,3.22,1.71,33.59,2.29,363916817,4102111,67627928,12391106,200001578,6314594
일양약품(주),007570,2020/12,65800,3372.69,623.87,15.19,2.81,63.65,11.77,9.7,1.79,79.53,0.34,342300350,616726,74054452,15176442,214511254,6617510
일양약품(주),007570,2021/12,28050,128.37,51.02,8.81,3.5,25.99,10.33,5.62,2.23,28.56,5.52,371760845,10087011,85137713,16825220,230265895,11582602
일양약품(주),007570,2022/12,19350,61.54,33.68,3.72,2.04,339.88,186.01,2.46,1.35,20.04,4.99,348763942,9393997,89190672,22113404,235057199,11763437
일정실업(주),008500,2017/12,24900,0,0,0.74,0.59,0,0,0.92,0.73,0,-7.26,63661607,-3802897,8625481,1544894,39187757,-5041777
일정실업(주),008500,2018/12,19250,0,0,0.69,0.42,0,0,0.78,0.47,0,-11.45,67330535,-5327286,7959430,1287387,38261437,-6983473
일정실업(주),008500,2019/12,18200,0,0,0.81,0.58,0,0,0.7,0.5,0,-23.72,64926904,-9177815,7404939,1152391,38857665,-11745081
일정실업(주),008500,2020/12,18400,0,0,1.16,0.32,30.58,8.36,1.18,0.32,0,-7.18,52738163,-2366589,4230037,903386,30785380,-5541656
일정실업(주),008500,2021/12,36400,0,0,1.73,0.6,0,0,1.45,0.51,0,-18.85,47335191,-5484040,4816609,773359,30944445,-6313188
