회사명,거래소코드,회계년도,종가,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),EV/EBITDA(IFRS),자기자본순이익률(IFRS연결),자산(*)(IFRS연결),당기순이익(손실)(IFRS연결),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),연구개발비(IFRS연결),매출액(수익)(*)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS연결)
신세계건설(주),034300,2021/12,34700,9.59,4.13,1.14,0.49,3.26,1.4,0.2,0.09,1.88,,,,,,,
신세계건설(주),034300,2022/12,16550,0,0,0.58,0.23,0,0,0.11,0.04,8.56,,,,,,,
신송홀딩스(주),006880,2017/12,5750,0,0,0.66,0.48,263.01,189.91,59.06,42.65,0,-5.77,259752617,-8240874,38247004,144668,291761499,-690877
신송홀딩스(주),006880,2018/12,4460,0,0,0.77,0.41,18234.34,9682.58,76.3,40.51,0,-10.55,205261964,-13912828,17387107,137503,163341580,-2970860
신송홀딩스(주),006880,2019/12,3980,0,0,0.71,0.4,232.89,131.31,56.79,32.02,0,-32.05,199873921,-34342178,24901531,6614,263013507,-309066
신송홀딩스(주),006880,2020/12,4085,0,0,0.54,0.26,67.44,31.83,35.9,16.94,0,3.04,167829010,2771233,18429710,0,205881740,5152838
신송홀딩스(주),006880,2021/12,5190,34.67,19.48,0.76,0.42,31.81,17.87,18.13,10.19,24.58,8.05,248190231,7466833,16500994,0,186444266,6867679
신송홀딩스(주),006880,2022/12,5990,58.25,14.72,2.08,0.53,73.19,18.49,41.75,10.55,22.56,1.58,242350721,1577789,19796704,0,209403828,8574417
신일전자(주),002700,2017/12,1395,18.22,8.81,3.12,1.51,19.61,9.48,1.19,0.58,8.21,,,,,,,
신일전자(주),002700,2018/12,1305,12.18,6.81,2.21,1.23,14.36,8.03,0.84,0.47,5.29,,,,,,,
신일전자(주),002700,2019/12,1855,47.35,21.07,3.06,1.36,0,0,1.4,0.62,41.89,,,,,,,
신일전자(주),002700,2020/12,1875,22.51,9.57,2.47,1.05,15.13,6.43,1.05,0.44,15.71,,,,,,,
신일전자(주),002700,2021/12,2115,26.67,15.14,2.71,1.54,29.65,16.83,1.1,0.62,11.73,,,,,,,
신일전자(주),002700,2022/12,1860,169.14,111.17,2.23,1.46,0,0,0.87,0.57,36.82,,,,,,,
신풍제약(주),019170,2017/12,7690,0,0,2.24,1.41,45.61,28.63,2.58,1.62,30.08,0.57,391378735,1254887,72306321,4625718,184998400,8149434
신풍제약(주),019170,2018/12,6410,557.92,258.61,3.44,1.59,22.16,10.27,3.98,1.84,25.16,1.31,386718512,2813654,68132457,4869822,187389168,7752620
신풍제약(주),019170,2019/12,7240,109.02,61.62,2.35,1.33,27.71,15.66,2.68,1.51,29.65,2.5,385878896,5394987,70582643,5966503,189721696,5602147
